Species,Country.of.Origin,Region,Farm.Name,Owner,Company,Certification.Body,unit_of_measurement,Altitude,altitude_high_meters,altitude_low_meters,altitude_mean_meters,Number.of.Bags,Bag.Weight,Harvest.Year,Grading.Date,Expiration,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Category.Two.Defects,Quakers,Color
Arabica,United States,antioquia,los cedros,cqi q coffee sample representative,coffee quality institute,Almacafé,m,meters above sea level: 1.943,1943,1943,1943,10,1 kg,2014,"March 13th, 2015","March 12th, 2016",Other,Washed / Wet,8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,87.92,0,0,0,0,NA
Arabica,United States (Hawaii),kona,arianna farms,grounds for health admin,NA,Specialty Coffee Association,ft,2000 ft,609.6,609.6,609.6,1,1,Sept 2009 - April 2010,"May 31st, 2010","May 31st, 2011",NA,NA,8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58,87.92,0,0,2,0,NA
Arabica,Ethiopia,oromiya,aolme,ethiopia commodity exchange,NA,Ethiopia Commodity Exchange,m,1570-1700,1700,1570,1635,300,60 kg,March 2010,"August 31st, 2010","August 31st, 2011",NA,NA,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,87.83,0.05,0,2,0,NA
Arabica,United States,antioquia,el águila,cqi q coffee sample representative,coffee quality institute,Almacafé,m,meters above sea level: 2.080,2080,2080,2080,10,1 kg,2014,"March 13th, 2015","March 12th, 2016",Other,Washed / Wet,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,87.58,0,0,0,0,NA
Arabica,Indonesia,sulawesi,toarco jaya,grounds for health admin,NA,Specialty Coffee Association,m,1200-1800m,1800,1200,1500,1,"2 kg,lbs",May-August,"May 31st, 2010","May 31st, 2011",NA,NA,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,87.42,0.03,0,0,0,NA
Arabica,Ethiopia,yirgacheffe,NA,ethiopia commodity exchange,NA,Ethiopia Commodity Exchange,m,NA,NA,NA,NA,150,6,2009/2010,"June 16th, 2010","June 16th, 2011",NA,NA,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,87.33,0.05,0,2,0,NA
Arabica,China,yunnan,echo coffee,yunnan coffee exchange,yunnan coffee exchange,Yunnan Coffee Exchange,m,1450,1450,1450,1450,3,60 kg,2015,"April 7th, 2016","April 7th, 2017",Catimor,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,87.25,0.1,0,0,0,Green
Arabica,Ethiopia,gedio,drima zede,essencecoffee,essence coffee,Blossom Valley International,m,1700-2000m,2000,1700,1850,250,60 kg,2014,"March 25th, 2015","March 24th, 2016",Ethiopian Yirgacheffe,Natural / Dry,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,87.25,0,0,8,0,NA
Arabica,United States,antioquia,el rodeo,cqi q coffee sample representative,coffee quality institute,Almacafé,m,meters above sea level: 2.019,2019,2019,2019,10,1 kg,2014,"March 13th, 2015","March 12th, 2016",Other,Washed / Wet,8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,87.25,0,0,0,0,None
Arabica,Costa Rica,san ramon,several,the coffee source inc.,the coffee source inc.,Specialty Coffee Association,m,1300 msnm,1300,1300,1300,250,3 lbs,2014,"April 2nd, 2014","April 2nd, 2015",Caturra,Washed / Wet,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,87.17,0.11,0,2,0,Green
Arabica,Mexico,xalapa,la herradura,roberto licona franco,NA,AMECAFE,m,1320,1320,1320,1320,14,1 kg,2012,"July 26th, 2012","July 26th, 2013",Other,Washed / Wet,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,87.17,0.13,0,0,0,Green
Arabica,United States,antioquia,la curva,cqi q coffee sample representative,coffee quality institute,Almacafé,m,meters above sea level: 2.112,2112,2112,2112,10,1 kg,2014,"March 13th, 2015","March 12th, 2016",Other,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,87.08,0,0,0,0,NA
Arabica,Ethiopia,sidamo,NA,ji-ae ahn,NA,Specialty Coffee Institute of Asia,m,NA,NA,NA,NA,100,60 kg,2013,"September 3rd, 2013","September 3rd, 2014",NA,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,87.08,0.11,0,1,0,Bluish-Green
Arabica,Brazil,south of minas,fazenda kaquend,nucoffee,nucoffee,NUCOFFEE,m,1250m,1250,1250,1250,3,60 kg,2011,"December 3rd, 2011","December 2nd, 2012",Bourbon,Natural / Dry,8.5,8.5,8,8,8,8,10,10,10,7.92,86.92,0.12,0,2,0,Green
Arabica,Ethiopia,sidamo,NA,ethiopia commodity exchange,NA,Ethiopia Commodity Exchange,m,NA,NA,NA,NA,150,6,2009/2010,"June 16th, 2010","June 16th, 2011",NA,NA,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25,86.92,0.05,0,2,0,NA
Arabica,Uganda,kapchorwa eastern,chebonet (23) women coffee,kabum trading company,kabum trading company,Uganda Coffee Development Authority,m,1950,1950,1950,1950,100,60 kg,2013,"June 26th, 2014","June 26th, 2015",SL14,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,86.83,0.12,0,1,0,Green
Arabica,Honduras,comayagua,los hicaques,bismarck castro,cigrah s.a de c.v,Instituto Hondureño del Café,m,1400,1400,1400,1400,275,69 kg,2016,"May 18th, 2017","May 18th, 2018",Caturra,NA,8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,86.67,0.1,0,3,0,Green
Arabica,Taiwan,"leye, alishan township, chiayi county",tsoustructive garden 鄒築園,"lin, che-hao krude 林哲豪",taiwan coffee laboratory,Specialty Coffee Association,m,1200,1200,1200,1200,20,50 kg,2015,"May 18th, 2016","May 18th, 2017",Sumatra,Pulped natural / honey,8,8,8,8.25,8,8.17,10,10,10,8.17,86.58,0,0,0,0,Green
Arabica,Nicaragua,NA,NA,nora zeas,NA,Specialty Coffee Association,m,NA,NA,NA,NA,275,6,NA,"May 18th, 2010","May 18th, 2011",NA,NA,7.92,8.25,8,8.33,8,8.08,10,10,10,8,86.58,0.08,0,2,0,NA
Arabica,"Tanzania, United Republic Of",NA,NA,specialty coffee-korea,NA,Specialty Coffee Institute of Asia,m,NA,NA,NA,NA,100,60 kg,2012,"September 3rd, 2013","September 3rd, 2014",NA,Natural / Dry,8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,86.5,0.11,0,1,0,Bluish-Green
Arabica,Brazil,vale da grama,fazenda recreio,nucoffee,nucoffee,NUCOFFEE,m,1300,1300,1300,1300,29,60 kg,2011,"December 3rd, 2011","December 2nd, 2012",Bourbon,Natural / Dry,8.5,8.17,8,7.75,8,8,10,10,10,8,86.42,0.12,0,2,0,Green
Arabica,Costa Rica,west and central valley,exclusive coffees s.a.,francisco a mena,exclusive coffees s.a.,Specialty Coffee Association of Costa Rica,m,1300,1300,1300,1300,250,2 lbs,2015/2016,"December 3rd, 2015","December 2nd, 2016",Caturra,Washed / Wet,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,86.33,0,0,0,0,Blue-Green
Arabica,Ethiopia,oromia,haider abamecha coffee plantation,hider abamecha,haider abamecha coffee export,METAD Agricultural Development plc,m,1750-1800,1800,1750,1775,320,60 kg,2014,"March 27th, 2015","March 26th, 2016",NA,Natural / Dry,8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,86.25,0.1,0,3,0,Green
Arabica,Kenya,muranga,kangunu,daniel magu,c dorman ltd,Kenya Coffee Traders Association,m,1800,1800,1800,1800,320,1 kg,2013,"May 30th, 2014","May 30th, 2015",SL34,Washed / Wet,8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,86.25,0.12,0,1,0,Blue-Green
Arabica,United States (Hawaii),kona,NA,kona pacific farmers cooperative,kona pacific farmers cooperative,Specialty Coffee Association,ft,NA,NA,NA,NA,10,100 lbs,2012,"April 6th, 2012","April 6th, 2013",Hawaiian Kona,Natural / Dry,8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,86.25,0,1,4,0,NA
Arabica,United States (Hawaii),kona,kona pacific farmers cooperative,kona pacific farmers cooperative,NA,Specialty Coffee Association,ft,NA,NA,NA,NA,25,100 lbs,2010,"January 28th, 2011","January 28th, 2012",NA,NA,8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,8.25,86.25,0,2,1,0,NA
Arabica,Ethiopia,yirgacheffe,"phone number | 0911-51-08-01, email | at",ethiopia commodity exchange,NA,Ethiopia Commodity Exchange,m,NA,NA,NA,NA,300,6,2009/2010,"June 17th, 2010","June 17th, 2011",NA,NA,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,8.17,86.25,0.1,0,2,0,NA
Arabica,United States,antioquia,la primavera,cqi q coffee sample representative,coffee quality institute,Almacafé,m,meters above sea level: 1.941,1941,1941,1941,10,1 kg,2014,"March 13th, 2015","March 12th, 2016",Other,Washed / Wet,7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,86.17,0,0,0,0,NA
Arabica,Thailand,chiang rai,co-op #12,itdp international,lanna cafe,Specialty Coffee Association,m,1300,1300,1300,1300,53,1 kg,2012,"April 12th, 2012","April 12th, 2013",Caturra,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,86.17,0.1,1,9,0,Green
Arabica,Brazil,sul de minas - carmo de minas,pereira estate coffee,jacques pereira carneiro,NA,Specialty Coffee Association,m,1.2,12,12,12,300,60 kg,2010,"January 4th, 2011","January 4th, 2012",Yellow Bourbon,NA,8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,86.17,0.08,0,2,0,NA
Arabica,Brazil,sul de minas - carmo de minas,pereira estate coffee,jacques pereira carneiro,NA,Specialty Coffee Association,m,1.2,12,12,12,300,60 kg,2010,"January 4th, 2011","January 4th, 2012",Yellow Bourbon,NA,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,86.17,0.01,0,3,0,NA
Arabica,Taiwan,natou county,sunshine valley estate 向陽高山咖啡,"lin, che-hao krude 林哲豪",taiwan coffee laboratory,Specialty Coffee Association,m,1000 m,1000,1000,1000,10,15 kg,2015,"June 10th, 2015","June 9th, 2016",Bourbon,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,86.08,0.12,0,0,0,Green
Arabica,Kenya,nyeri,jungle estate,jungle estate,keremara limited,Kenya Coffee Traders Association,m,1754,1754,1754,1754,12,60 kg,2014,"January 29th, 2015","January 29th, 2016",SL28,Natural / Dry,8.08,8.08,8,8,7.83,8.08,10,10,10,8,86.08,0.11,0,2,0,Bluish-Green
Arabica,Brazil,south of minas,fazenda kaquend,nucoffee,nucoffee,NUCOFFEE,m,1250m,1250,1250,1250,7,60 kg,2011,"December 3rd, 2011","December 2nd, 2012",Bourbon,Semi-washed / Semi-pulped,8.33,8,8,8,7.75,8,10,10,10,8,86.08,0.11,0,2,0,Blue-Green
Arabica,Uganda,eastern uganda,kaasayi,great lakes coffee uganda,ucda,Uganda Coffee Development Authority,m,NA,NA,NA,NA,1,60 kg,2014,"October 1st, 2014","October 1st, 2015",NA,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,8.08,86,0,0,0,0,NA
Arabica,Colombia,tolima,ecobio colombia,lusso lab,lusso coffee lab,Specialty Coffee Association,m,900-1500m,1500,900,1200,1,2 kg,2013,"March 20th, 2014","March 20th, 2015",Caturra,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,86,0.12,1,1,0,Green
Arabica,Kenya,kiambu,kianjavi,lusso lab,lusso coffee lab,Specialty Coffee Association,m,1520m-2200m,2200,1520,1860,1,1 kg,2013,"February 6th, 2014","February 6th, 2015",SL28,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,86,0.11,0,1,0,Green
Arabica,Uganda,"sipi, mt elgon",NA,afca,kawacom uganda ltd,Africa Fine Coffee Association,m,1400-1900m,1900,1400,1650,1,60 kg,2012,"February 13th, 2012","February 12th, 2013",Other,Washed / Wet,8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,86,0.1,0,0,0,Blue-Green
Arabica,Ethiopia,sidamo,contact | sidacoop@ethionet.net,ethiopia commodity exchange,NA,Ethiopia Commodity Exchange,m,1500-2000 m,2000,1500,1750,300,6,2009/2010,"June 17th, 2010","June 17th, 2011",NA,NA,7.75,8.08,8,8.25,8,8,10,10,10,7.92,86,0.01,0,4,0,NA
Arabica,United States (Hawaii),kona,hula daddy kona coffee,grounds for health admin,NA,Specialty Coffee Association,ft,1400ft,426.72,426.72,426.72,1,2,Fall 2009,"May 31st, 2010","May 31st, 2011",NA,NA,8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17,86,0,0,0,0,NA
Arabica,Guatemala,nuevo oriente,la esperanza y anexos,juan luis alvarado romero,"unex guatemala, s.a.",Asociacion Nacional Del Café,m,NA,NA,NA,NA,80,69 kg,2016,"May 16th, 2016","May 16th, 2017",Bourbon,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,85.92,0.1,0,3,1,Green
Arabica,Uganda,eastern,sipi organic coffee project,kawacom uganda ltd,kawacom uganda ltd,Uganda Coffee Development Authority,m,1400-1900,1900,1400,1650,1,60 kg,2013,"June 30th, 2014","June 30th, 2015",SL14,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,85.92,0.12,0,0,0,Green
Arabica,Colombia,huila,NA,exportadora de cafe condor s.a,exportadora de cafe condor s.a,Almacafé,m,1800 msnm,1800,1800,1800,275,70 kg,2013,"July 26th, 2013","July 26th, 2014",Caturra,Washed / Wet,8,8,8,8.17,7.83,8,10,10,10,7.92,85.92,0,1,0,0,Blue-Green
Arabica,Panama,boquete,la berlina estate,gonzalo hernandez,ce specialty s.a.,Specialty Coffee Association of Costa Rica,m,1600,1600,1600,1600,37,60 kg,2017,"October 9th, 2017","October 9th, 2018",Gesha,Washed / Wet,8,8,7.92,8.08,7.83,8,10,10,10,8,85.83,0.08,0,0,1,Bluish-Green
Arabica,Ethiopia,oromia,NA,ibrahim hussien speciality coffee producer &export,ibrahim hussien specality coffee product & exporter,METAD Agricultural Development plc,m,1800-2000,2000,1800,1900,320,60 kg,2014,"April 4th, 2015","April 3rd, 2016",NA,Washed / Wet,7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,85.83,0.1,0,4,0,Green
Arabica,Guatemala,acatenango,valparaiso,juan luis alvarado romero,sertrasa,Asociacion Nacional Del Café,ft,5000,1524,1524,1524,150,1 kg,2012,"July 3rd, 2012","July 3rd, 2013",Bourbon,Washed / Wet,7.83,8,8,8.17,7.83,8,10,10,10,8,85.83,0.12,0,3,0,Green
Arabica,Guatemala,nuevo oriente,finca el limon,juan luis alvarado romero,unicafe,Asociacion Nacional Del Café,ft,4650,1417.32,1417.32,1417.32,275,1 kg,2012,"June 5th, 2012","June 5th, 2013",Catuai,Washed / Wet,8,8,7.83,8.33,7.83,7.83,10,10,10,8,85.83,0.1,0,1,0,Bluish-Green
Arabica,Ethiopia,addis ababa,seid damtew coffee planation,seid damtew coffee planataion,seid damtew coffee planation,METAD Agricultural Development plc,m,NA,NA,NA,NA,320,19200 kg,2017,"June 23rd, 2017","June 23rd, 2018",Caturra,Natural / Dry,7.83,8,7.83,8.17,7.92,8,10,10,10,8,85.75,0.09,0,7,4,None
Arabica,Peru,cajamarca,NA,dane loraas,sustainable harvest,Specialty Coffee Association,m,NA,NA,NA,NA,280,5 lbs,2013,"January 22nd, 2014","January 22nd, 2015",NA,Washed / Wet,8,8,8,8.08,7.92,7.75,10,10,10,8,85.75,0.1,4,6,0,Green
Arabica,Papua New Guinea,eastern highlands province,tairora cherry – bonta,"colbran coffeelands, ltd.",cqi,Specialty Coffee Association,m,1700 mts,1700,1700,1700,7,60 kg,2012,"October 25th, 2012","October 25th, 2013",NA,Washed / Wet,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,85.75,0.12,0,1,0,Bluish-Green
Arabica,El Salvador,apaneca,el majahual,atlantic specialty coffee,atlantic specialty coffee,Specialty Coffee Association,m,1500 meters,1500,1500,1500,275,2 kg,2013,"March 18th, 2013","March 18th, 2014",Bourbon,Washed / Wet,7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,85.58,0.1,0,3,0,Blue-Green
Arabica,El Salvador,"ataco, apaneca - ilamatepec mountain range",finca la esmeralda,lusso lab,lusso coffee lab,Specialty Coffee Association,m,1300~1400 m.s.l,1400,1300,1350,19,1 kg,2012,"January 12th, 2013","January 12th, 2014",Bourbon,Semi-washed / Semi-pulped,7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,85.58,0.11,0,0,0,None
Arabica,United States (Hawaii),kona,NA,kona pacific farmers cooperative,kona pacific farmers cooperative,Specialty Coffee Association,ft,NA,NA,NA,NA,8,100 lbs,2012,"April 6th, 2012","April 6th, 2013",Hawaiian Kona,Natural / Dry,7.83,8,7.92,7.75,8.08,8,10,10,10,8,85.58,0,0,1,0,NA
Arabica,Panama,boquete,elida estate,essencecoffee,essence coffee,Blossom Valley International,m,1680,1680,1680,1680,100,60 kg,2014,"May 23rd, 2015","May 22nd, 2016",Caturra,Natural / Dry,8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,85.5,0.09,2,2,0,NA
Arabica,Kenya,kirinyaga,inoi,essencecoffee,essence coffee,Blossom Valley International,m,1900m,1900,1900,1900,16,60 kg,2014,"May 23rd, 2015","May 22nd, 2016",SL28,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,85.5,0.1,0,3,0,Green
Arabica,Ethiopia,oromia,NA,assefa belay coffee producer,assefa belay coffee producer,METAD Agricultural Development plc,m,1800-2000,2000,1800,1900,320,60 kg,2015,"March 31st, 2015","March 30th, 2016",Other,Natural / Dry,7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,85.5,0.12,0,7,0,Green
Arabica,Uganda,bulambuli eastern region,buginyanya,kyagalanyi ltd,kyagalanyi coffee ltd,Uganda Coffee Development Authority,m,1600,1600,1600,1600,320,60 kg,2013,"June 26th, 2014","June 26th, 2015",SL14,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,85.5,0.12,0,1,0,Green
Arabica,Guatemala,huehuetenango,asoperc,juan luis alvarado romero,exportcafe,Asociacion Nacional Del Café,ft,5600-5760 metros,1755.648,1706.88,1731.264,250,69 kg,2013,"February 26th, 2013","February 26th, 2014",Bourbon,Washed / Wet,8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,85.5,0.11,0,1,0,Green
Arabica,Ethiopia,oromia,NA,assefa belay coffee producer,assefa belay coffee producer,METAD Agricultural Development plc,m,1800-2000,2000,1800,1900,320,60 kg,2015,"March 31st, 2015","March 30th, 2016",NA,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,85.42,0.1,0,18,0,Green
Arabica,Uganda,kapchorwa,chesiyo farmer group,great lakes coffee uganda,great lakes coffee,Uganda Coffee Development Authority,m,1950,1950,1950,1950,150,60 kg,2013,"June 26th, 2014","June 26th, 2015",SL14,Washed / Wet,8.08,8,7.83,7.67,8,7.83,10,10,10,8,85.42,0.12,0,5,0,Green
Arabica,United States (Hawaii),kona,NA,kona pacific farmers cooperative,kona pacific farmers cooperative,Specialty Coffee Association,ft,NA,NA,NA,NA,8,100 lbs,2012,"April 6th, 2012","April 6th, 2013",Hawaiian Kona,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25,85.42,0,4,6,0,NA
Arabica,Brazil,south of minas,fazenda serra de três barras,nucoffee,nucoffee,NUCOFFEE,m,1250m,1250,1250,1250,5,60 kg,2011,"December 3rd, 2011","December 2nd, 2012",Bourbon,Semi-washed / Semi-pulped,8,8,8,7.67,7.75,8,10,10,10,8,85.42,0.11,0,1,0,Blue-Green
Arabica,El Salvador,apaneca,sierra nevada,grounds for health admin,NA,Specialty Coffee Association,m,1400 m,1400,1400,1400,2,"1 kg,lbs",2009 / 2010,"May 31st, 2010","May 31st, 2011",NA,NA,8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,7.92,85.42,0.01,0,0,0,NA
Arabica,China,yunnan,pu'er city longke coffee co.ltd,yunnan coffee exchange,yunnan coffee exchange,Yunnan Coffee Exchange,m,1700,1700,1700,1700,3,60 kg,2015,"April 6th, 2016","April 6th, 2017",Catimor,Natural / Dry,8,8,8,7.83,7.83,7.75,10,10,10,7.92,85.33,0.1,0,0,0,Green
Arabica,Guatemala,huehuetenango,el injerto s.a.,essencecoffee,essence coffee,Blossom Valley International,m,1770,1770,1770,1770,36,30 kg,2014,"May 23rd, 2015","May 22nd, 2016",Pacamara,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,85.33,0.11,0,1,0,Green
Arabica,Costa Rica,west valley,several,the coffee source inc.,the coffee source inc.,Specialty Coffee Association,m,1300,1300,1300,1300,250,3 lbs,2014,"May 1st, 2014","May 1st, 2015",Caturra,Washed / Wet,7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,85.33,0,0,0,0,Bluish-Green
Arabica,Costa Rica,san ramon,several,the coffee source inc.,the coffee source inc.,Specialty Coffee Association,m,1300 msnm,1300,1300,1300,250,3 lbs,2014,"May 1st, 2014","May 1st, 2015",Caturra,Washed / Wet,8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,85.33,0.1,0,2,0,Bluish-Green
Arabica,Kenya,central kenya,NA,rashid moledina & co. (msa) ltd.,rashid moledina & co. (msa) ltd,Kenya Coffee Traders Association,m,above 1600 m,1600,1600,1600,20,60 kg,2012,"April 19th, 2013","April 19th, 2014",SL34,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,85.33,0,0,2,0,Green
Arabica,Kenya,central kenya,NA,ibero kenya limited,ibero kenya limited,Kenya Coffee Traders Association,m,above 1200 m,1200,1200,1200,300,60 kg,2012,"March 12th, 2013","March 12th, 2014",SL34,Washed / Wet,8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,85.33,0,0,6,0,Green
Arabica,Ethiopia,yirgacheffe,phone number | 0911-513824 email: gmt.ft,ethiopia commodity exchange,NA,Ethiopia Commodity Exchange,m,NA,NA,NA,NA,360,6 kg,2009/2010,"June 17th, 2010","June 17th, 2011",NA,NA,7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,8.08,85.33,0.05,0,2,0,NA
Arabica,Ethiopia,yirgacheffe,NA,ethiopia commodity exchange,NA,Ethiopia Commodity Exchange,m,NA,NA,NA,NA,300,6,2009/2010,"June 17th, 2010","June 17th, 2011",Typica,NA,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,8,85.33,0.1,0,3,0,NA
Arabica,Guatemala,oriente,la esperanza y anexos,juan luis alvarado romero,"unex guatemala, s.a.",Asociacion Nacional Del Café,m,NA,NA,NA,NA,250,69 kg,2016,"April 27th, 2016","April 27th, 2017",Bourbon,NA,8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,85.25,0.1,0,2,2,Green
